Taxid	Organism	Species Name	Version
9606	human	Homo sapiens	v5.9
9544	rhesus	Macaca mulatta	v5.9
10090	mouse	Mus musculus	v5.9
10116	rat	Rattus norvegicus	v5.9
9823	pig	Sus scrofa	v5.9
9615	dog	Canis lupus familiaris	v5.9
9031	chicken	Gallus gallus	v5.9
5.829	zebrafinch	Taeniopygia guttata	v5.9
8364	frog	Xenopus tropicalis	v5.9
8355	laevis	Xenopus laevis	v5.9
7955	zebrafish	Danio rerio	v5.9
31033	fugu	Takifugu rubripes	v5.9
7757	lamprey	Petromyzon marinus	v5.9
7719	ciona	Ciona intestinalis	v5.9
7668	urchin	Strongylocentrotus purpuratus	v5.9
7227	fly	Drosophila melanogaster	v5.9
180454	mosquito	Anopheles gambiae	v5.9
7460	bee	Apis mellifera	v5.9
6239	worm	Caenorhabditis elegans	v5.9
45351	anemone	Nematostella vectensis	v5.9
6087	hydra	Hydra vulgaris	v5.9
6500	seahare	Aplysia californica	v5.9
559292	yeast	Saccharomyces cerevisiae	v5.9
284812	pombe	Schizosaccharomyces pombe	v5.9
5141	ascomycetes	Neurospora crassa	v5.9
5.8362	mushroom	Agaricus bisporus	v5.9
3702	arabidopsis	Arabidopsis thaliana	v5.9
3218	patens	Physcomitrella patens	v5.9
39947	rice	Oryza sativa	v5.9
45.8	corn	Zea mays	v5.9
4081	tomato	Solanum lycopersicum	v5.9
3055	chlamy	Chlamydomonas reinhardtii	v5.9
3068	volvox	Volvox carteri	v5.9
352472	dicty	Dictyostelium discoideum	v5.9
556484	diatom	Phaeodactylum tricornutum	v5.9
312017	ciliate	Tetrahymena thermophila	v5.9
88036	selaginella	Selaginella moellendorffii	v5.9
296543	pseudonana	Thalassiosira pseudonana	v5.9
246410	cocci	Coccidioides immitis RS	v5.9
